key,token
[NH3+][C@H](C=O)CCC(=O)[O-],318
CC[C@H](C)CC(=O)[O-],319
C1=NCCS1,320
C1=CN=C[NH+]=C1,321
CC1CCC=C[C@@H]1O,322
C[S+](C)CC[C@H]([NH3+])C(=O)[O-],323
O[C@H]1[C@@H](O)CCO[C@@H]1O,324
O=[P@]1([O-])OCCCO[P@@](=O)([O-])OCCCO1,325
C[C@H]1OC[C@H](O)C[C@H]1O,326
O=C1C=CC(=O)CC1,327
Nc1ncncn1,328
C1CSCN1,329
NC(=[NH2+])NO,330
Cc1c[nH]c(C)c1,331
CC1(C)OCCO1,332
C[C@@H]1[NH2+]C[C@H](O)[C@@H]1O,333
CCCCCCCCCCCCCCCCCC(=O)[O-],334
O=CC=O,335
Cc1cccc(O)c1,336
Nc1ncn[nH]1,337
CC[C@@H](O)C[C@@H](C)C=O,338
Fc1cc(F)c(F)cc1F,339
CCC[C@H](C)O,340
O[C@@H]1C[SH+]C[C@H]1O,341
CC(O)([P+](=O)(=O)[O-])[P+](=O)(=O)[O-],342
c1ncncn1,343
C1=CCNC1,344
Brc1ccc(Br)c(Br)c1Br,345
Cc1cc(C)ncn1,346
C[SH]=O,347
CC1CCC[C@@H](O)C1,348
CCCC(N)=O,349
C[N@@H+](CCC[C@](C)(O)C=O)NC(=O)CC(C)(C)C,350
O=C1CNC(=O)[C@H](O)CC=CC=CC/C=C\CN1,351
O=C1CCCOC=CC=CCCNC(=O)CN1,352
CCCCCC(C)(C)O,353
CC(C)C[C@H]([NH3+])C(=O)[O-],0
C[C@@H](O)[C@H]([NH3+])C=O,0
O=C1CC=CN1,0
CN1C=C[NH+]=C1,0
O[C@@H]1C[C@@H](O)[C@@H](O)CO1,0
OC1CC[NH2+]CC1,0
O[C@@H]1C[C@@H](O)[C@H](O)CO1,0
O[C@@H]1[C@H](O)[C@H](O)CO[C@H]1O,0
O=C([O-])CCC(=O)C(=O)[O-],0
C1=COCCC1,0
O[C@H]1[C@H](O)CNC[C@@H]1O,0
CC[C@@H](O)CO,0
O=[P@]([O-])(N[P+](=O)(=O)[O-])O[P@](=O)([O-])O,0
C1=CCNC=C1,0
[NH3+][C@@H]1C[C@H](O)[C@H](O)[C@@H]1O,0
Cc1cc(C)on1,0
O=C1C=CC(=O)N1,0
OC1[C@@H](O)C[NH2+]C[C@@H]1O,0
C1=NOCC1,0
O[C@H]1[C@H](O)CO[C@H]1O,0
[NH3+]CC=O,0
[NH3+]CCCC[C@H]([NH3+])C(=O)[O-],0
O=c1cco[nH]1,0
CC[C@H]([NH3+])C=O,0
CC(C)O,0
C=CCC,0
Nc1cnc[nH]1,0
O=[P@@]([O-])(O)O[P@](=O)([O-])O,0
Oc1ccccc1Cl,0
O=c1cccco1,0
NC(=O)CCC(N)=O,0
CCS(C)(=O)=O,0
CN1C(=[NH2+])NCC1=O,0
CCCCCCCCCCCCCCCC(=O)[O-],0
CC[C@@H](C)C=O,0
O=C1C[C@H](O)C[C@@H](O)[C@@H]1O,0
CC1CCCC1O,0
C1CCCCCCC1,0
O=c1cc(O)cco1,0
CC1=CC(C)(C)CCC1,0
CCCCC[C@@H](C=O)CC(=O)NO,0
CC1CCC(C)CC1,0
O=C1C=C(O)CCO1,0
CC[C@@H](O)[C@H](O)CC,0
Fc1cccc(Cl)c1,0
CC1(C)C=CC(C)(C)CC1,0
Clc1cccnc1,0
CCC(F)(F)F,0
c1csnn1,0
O=S1(=O)C=CCCN1,0
CC1CCCCO1,0
CC[C@@H](O)C[N@H+](C)NC(=O)CC(C)(C)C,0
O=C1NCCCN1,0
CC(C)(O)C=O,0
CCCC[C@H]([NH3+])C(=O)[O-],0
O=[PH+](=O)[O-],0
O[C@@H]1COC[C@H](O)[C@H]1F,0
Fc1ccc(F)cc1,0
O[C@@H]1C[NH2+]CC[C@@H]1O,0
[NH3+][C@H](CO)C(=O)[O-],0
C[C@@H](O)[C@@H](O)C(=O)NO,0
O[C@@H]1[C@H](O)CO[C@@H]1O,0
Cn1ccc(=O)n(C)c1=O,0
Cc1ncccn1,0
O=C1CC=CC=N1,0
CC(C)CC(C)C,0
Cc1ccc(C)cc1,0
N#[N+2]=N,0
C1=CCC=CC1,0
C1CNN=N1,0
CC(=O)C(=O)[O-],0
O=CNO,0
Oc1ccccc1I,0
CC(C)C[C@H]([NH3+])[P+](=O)(=O)[O-],0
CCCCCCCCCCCC,0
